Name,Color Name,Size,Price
Trex Enhance Basics,Clam Shell,1x8,4.87
Trex Enhance Basics,Saddle,1x8,4.87
Trex Enhance Basics,Tide Pool,1x8,4.87
Trex Enhance Basics,Beach Dune,1x8,4.87
Trex Enhance Basics,Clam Shell,1x12,7.89
Trex Enhance Basics,Saddle,1x12,7.89
Trex Enhance Basics,Tide Pool,1x12,7.89
Trex Enhance Basics,Beach Dune,1x12,7.89
Trex Enhance Naturals,Rocky Harbor,1x8,4.87
Trex Enhance Naturals,Toasted Sand,1x8,4.87
Trex Enhance Naturals,Coastal Bluff,1x8,4.87
Trex Enhance Naturals,Foggy Wharf,1x8,4.87
Trex Enhance Naturals,Cinnamon Cove,1x8,4.87
Trex Enhance Naturals,Honey Grove,1x8,4.87
Trex Enhance Naturals,Rocky Harbor,1x12,7.89
Trex Enhance Naturals,Toasted Sand,1x12,7.89
Trex Enhance Naturals,Coastal Bluff,1x12,7.89
Trex Enhance Naturals,Foggy Wharf,1x12,7.89
Trex Enhance Naturals,Cinnamon Cove,1x12,7.89
Trex Enhance Naturals,Honey Grove,1x12,7.89
Trex Select,All Colors,1x8,5.26
Trex Select,All Colors,1x12,8.52
Trex Transcend,All Colors,1x8,5.68
Trex Transcend,All Colors,1x12,9.21
Trex Signature,All Colors,1x8,9.77
Trex Signature,All Colors,1x12,14.61
